SubID,subject,correct,total_trials,trial_type,condition,condition_non_rec,probe_type,sub_idx
6576603,96,1,1,2,-1,1,0.5,95
6576774,97,1,1,2,-1,1,-0.5,96
6576774,97,0,1,1,-1,1,0.5,96
6576774,97,1,1,2,-1,1,0.5,96
6577301,98,1,1,2,-1,1,-0.5,97
6577301,98,1,1,1,-1,1,0.5,97
6577301,98,0,1,2,-1,1,0.5,97
6577338,99,0,1,2,-1,1,-0.5,98
6577338,99,1,1,1,-1,1,0.5,98
6577338,99,0,1,2,-1,1,0.5,98
6581436,101,1,1,2,-1,1,-0.5,99
6581436,101,1,1,1,-1,1,0.5,99
6581436,101,0,1,2,-1,1,0.5,99
6581431,102,1,1,2,-1,1,-0.5,100
6581431,102,1,1,1,-1,1,0.5,100
6581431,102,1,1,2,-1,1,0.5,100
6581419,103,1,1,2,-1,1,-0.5,101
6581419,103,1,1,1,-1,1,0.5,101
6581419,103,1,1,2,-1,1,0.5,101
6581469,104,1,1,2,-1,1,-0.5,102
6581469,104,1,1,1,-1,1,0.5,102
6581469,104,1,1,2,-1,1,0.5,102
6582871,105,1,1,2,-1,1,-0.5,103
6582871,105,1,1,1,-1,1,0.5,103
6582871,105,0,1,2,-1,1,0.5,103
6583058,106,0,1,2,-1,1,-0.5,104
6583058,106,1,1,1,-1,1,0.5,104
6583058,106,0,1,2,-1,1,0.5,104
6583073,107,0,1,2,-1,1,-0.5,105
6583073,107,1,1,1,-1,1,0.5,105
6583073,107,0,1,2,-1,1,0.5,105
6583134,108,1,1,2,-1,1,-0.5,106
6583134,108,1,1,1,-1,1,0.5,106
6583134,108,0,1,2,-1,1,0.5,106
6583843,109,0,1,2,-1,1,-0.5,107
6583843,109,0,1,1,-1,1,0.5,107
6583843,109,1,1,2,-1,1,0.5,107
6576538,110,1,1,2,1,2,-0.5,108
6576538,110,0,1,1,1,2,0.5,108
6576538,110,0,1,2,1,2,0.5,108
6576604,111,1,1,2,1,2,-0.5,109
6576604,111,0,1,1,1,2,0.5,109
6576604,111,0,1,2,1,2,0.5,109
6576661,112,1,1,2,1,2,-0.5,110
6576661,112,0,1,1,1,2,0.5,110
6576661,112,1,1,2,1,2,0.5,110
6577334,113,1,1,2,1,2,-0.5,111
6577334,113,0,1,1,1,2,0.5,111
6577334,113,0,1,2,1,2,0.5,111
6577319,114,1,1,2,1,2,-0.5,112
6577319,114,0,1,1,1,2,0.5,112
6577319,114,1,1,2,1,2,0.5,112
6577401,115,0,1,2,1,2,-0.5,113
6577401,115,0,1,1,1,2,0.5,113
6577401,115,1,1,2,1,2,0.5,113
6577345,116,0,1,2,1,2,-0.5,114
6577345,116,0,1,1,1,2,0.5,114
6577345,116,0,1,2,1,2,0.5,114
6577879,117,0,1,2,1,2,-0.5,115
6577879,117,0,1,1,1,2,0.5,115
6577879,117,1,1,2,1,2,0.5,115
6581442,118,1,1,2,1,2,-0.5,116
6581442,118,1,1,1,1,2,0.5,116
6581442,118,0,1,2,1,2,0.5,116
6581449,119,0,1,2,1,2,-0.5,117
6581449,119,1,1,1,1,2,0.5,117
