SubID,subject,correct,total_trials,trial_type,condition,trial_type_non_rec,condition_non_rec,probe_type,phase,sub_idx
6577895,70,0,1,0.5,-1,2,1,0.5,1,54
6577895,70,1,1,-0.5,-1,1,1,0.5,2,54
6577895,70,0,1,0.5,-1,2,1,0.5,2,54
6581421,71,0,1,-0.5,-1,1,1,-0.5,1,55
6581421,71,1,1,0.5,-1,2,1,-0.5,1,55
6581421,71,1,1,-0.5,-1,1,1,-0.5,2,55
6581421,71,0,1,0.5,-1,2,1,-0.5,2,55
6581421,71,0,1,-0.5,-1,1,1,0.5,1,55
6581421,71,1,1,0.5,-1,2,1,0.5,1,55
6581421,71,1,1,-0.5,-1,1,1,0.5,2,55
6581421,71,0,1,0.5,-1,2,1,0.5,2,55
6581462,72,1,1,-0.5,-1,1,1,-0.5,1,56
6581462,72,0,1,0.5,-1,2,1,-0.5,1,56
6581462,72,1,1,-0.5,-1,1,1,-0.5,2,56
6581462,72,0,1,0.5,-1,2,1,-0.5,2,56
6581462,72,1,1,-0.5,-1,1,1,0.5,1,56
6581462,72,1,1,0.5,-1,2,1,0.5,1,56
6581462,72,1,1,-0.5,-1,1,1,0.5,2,56
6581462,72,0,1,0.5,-1,2,1,0.5,2,56
6581463,73,0,1,-0.5,-1,1,1,-0.5,1,57
6581463,73,0,1,0.5,-1,2,1,-0.5,1,57
6581463,73,1,1,-0.5,-1,1,1,-0.5,2,57
6581463,73,0,1,0.5,-1,2,1,-0.5,2,57
6581463,73,0,1,-0.5,-1,1,1,0.5,1,57
6581463,73,0,1,0.5,-1,2,1,0.5,1,57
6581463,73,1,1,-0.5,-1,1,1,0.5,2,57
6581463,73,0,1,0.5,-1,2,1,0.5,2,57
6583074,75,0,1,-0.5,-1,1,1,-0.5,1,58
6583074,75,1,1,0.5,-1,2,1,-0.5,1,58
6583074,75,0,1,-0.5,-1,1,1,-0.5,2,58
6583074,75,1,1,0.5,-1,2,1,-0.5,2,58
6583074,75,1,1,-0.5,-1,1,1,0.5,1,58
6583074,75,0,1,0.5,-1,2,1,0.5,1,58
6583074,75,0,1,-0.5,-1,1,1,0.5,2,58
6583074,75,1,1,0.5,-1,2,1,0.5,2,58
6582974,76,0,1,-0.5,-1,1,1,-0.5,1,59
6582974,76,1,1,0.5,-1,2,1,-0.5,1,59
6582974,76,1,1,-0.5,-1,1,1,-0.5,2,59
6582974,76,1,1,0.5,-1,2,1,-0.5,2,59
