SubID,subject,correct,total_trials,trial_type,expected,condition,condition_non_rec,probe_type,sub_idx
6577317,81,0,9,1,0.5,1,2,0.5,81
6577317,81,4,6,2,-0.5,1,2,0.5,81
6577317,81,5,12,2,0.5,1,2,0.5,81
6577312,82,6,6,2,-0.5,1,2,-0.5,82
6577312,82,12,12,2,0.5,1,2,-0.5,82
6577312,82,7,9,1,-0.5,1,2,0.5,82
6577312,82,6,9,1,0.5,1,2,0.5,82
6577312,82,6,6,2,-0.5,1,2,0.5,82
6577312,82,12,12,2,0.5,1,2,0.5,82
6577360,83,5,6,2,-0.5,1,2,-0.5,83
6577360,83,12,12,2,0.5,1,2,-0.5,83
6577360,83,5,9,1,-0.5,1,2,0.5,83
6577360,83,3,9,1,0.5,1,2,0.5,83
6577360,83,4,6,2,-0.5,1,2,0.5,83
6577360,83,7,12,2,0.5,1,2,0.5,83
6577344,84,4,6,2,-0.5,1,2,-0.5,84
6577344,84,10,12,2,0.5,1,2,-0.5,84
6577344,84,6,9,1,-0.5,1,2,0.5,84
6577344,84,6,9,1,0.5,1,2,0.5,84
6577344,84,4,6,2,-0.5,1,2,0.5,84
6577344,84,6,12,2,0.5,1,2,0.5,84
6581425,86,6,6,2,-0.5,1,2,-0.5,85
6581425,86,11,12,2,0.5,1,2,-0.5,85
6581425,86,3,9,1,-0.5,1,2,0.5,85
6581425,86,4,9,1,0.5,1,2,0.5,85
